message,label
Happy birthday! Hope you have a great the weekend.,ham
Just checking in - how did the lunch go?,ham
"See you at the call on tomorrow, looking forward to it.",ham
Your PayPal account needs verification. Click claim-now.net immediately or lose access!,spam
Reminder: the workshop has been moved to Friday.,ham
Let's grab coffee sometime this Friday if you're free.,ham
Let's grab coffee sometime this Monday if you're free.,ham
WINNER! Your number was picked for a lottery jackpot. Reply YES or visit bit.ly/xyz123.,spam
WINNER! Your number was picked for a vacation. Reply YES or visit bit.ly/xyz123.,spam
"The the workshop meeting notes are attached, let me know your thoughts.",ham
"See you at lunch on Monday, looking forward to it.",ham
WINNER! Your number was picked for a cash prize. Reply YES or visit claim-now.net.,spam
Can you send me the presentation before the weekend? Thanks!,ham
"Make $2500 a week working from home! No experience needed, visit claim-now.net!",spam
Let's grab coffee sometime this the weekend if you're free.,ham
Could you review the report when you get a chance?,ham
"URGENT: can you send the invoice today? Deadline moved up, please reply ASAP.",ham
"Hey, are we still on for the meeting this Monday?",ham
"Hi, following up on the invoice - can you review it by Tuesday? Thanks.",spam
Can you send me the spreadsheet before Monday? Thanks!,ham
URGENT: Your account will be suspended. Verify now at bit.ly/xyz123 to avoid closure.,spam
"Act now! Exclusive iPhone deal just for you, visit free-prize.com today only!",spam
"The lunch meeting notes are attached, let me know your thoughts.",ham
Could you review the invoice when you get a chance?,ham
"Make $2500 a week working from home! No experience needed, visit claim-now.net!",spam
You've been selected for a iPhone giveaway! Claim at bit.ly/xyz123 immediately!,spam
Limited spots left for the workshop - confirm by tomorrow if you're attending.,ham
"Free coffee in the break room today, come grab some before the project review!",ham
"The lunch meeting notes are attached, let me know your thoughts.",ham
Happy birthday! Hope you have a great the weekend.,ham
CONGRATULATIONS! You have WON a vacation! Click verify-account.info now to claim your prize!!!,spam
Just checking in - how did the the workshop go?,ham
CONGRATULATIONS! You have WON a gift card! Click verify-account.info now to claim your prize!!!,spam
"Get laptop FREE! Limited time offer, click free-prize.com before it's gone!",spam
"See you at the call on Monday, looking forward to it.",ham
Your PayPal account needs verification. Click free-prize.com immediately or lose access!,spam
WINNER! Your number was picked for a vacation. Reply YES or visit claim-now.net.,spam
Your PayPal account needs verification. Click bit.ly/xyz123 immediately or lose access!,spam
"Act now! Exclusive vacation deal just for you, visit bit.ly/xyz123 today only!",spam
"Make $2500 a week working from home! No experience needed, visit free-prize.com!",spam
"Act now! Exclusive vacation deal just for you, visit verify-account.info today only!",spam
WINNER! Your number was picked for a iPhone. Reply YES or visit claim-now.net.,spam
Reminder - click the link in the calendar invite to join the workshop.,ham
URGENT: Your account will be suspended. Verify now at bit.ly/xyz123 to avoid closure.,spam
You've been selected for a iPhone giveaway! Claim at free-prize.com immediately!,spam
URGENT: Your account will be suspended. Verify now at free-prize.com to avoid closure.,spam
Can you send me the presentation before Friday? Thanks!,ham
"The the workshop meeting notes are attached, let me know your thoughts.",ham
WINNER! Your number was picked for a gift card. Reply YES or visit claim-now.net.,spam
Reminder: the call has been moved to Friday.,ham
Can you send me the report before tomorrow? Thanks!,ham
"Reminder about the meeting, see you there on tomorrow.",spam
Let's grab coffee sometime this tomorrow if you're free.,ham
You've been selected for a laptop giveaway! Claim at bit.ly/xyz123 immediately!,spam
